Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
kawasan karst marospangkep luas ha kawasan karst luas indah dunia cina,0,0,0,0,0,0,0,0,0,0,0,0
mang ono kayak lap ketibggalan lancar gitu ngomongnya ono kayak dech,0,0,0,0,0,0,0,0,0,0,0,0
usaha medankhususnya mata sipit gwtentunya gumam hati cape atm,0,0,0,0,0,0,0,0,0,0,0,0
perintah gus ipul puti kuat program nawacita presiden jokowi jawa timur pkhsupergusipulputi,0,0,0,0,0,0,0,0,0,0,0,0
shia kafir,1,1,1,0,1,0,0,0,0,1,0,0
tangkap setnov sanggup bubar kpk,1,0,0,1,0,0,0,0,1,0,0,1
bacot pecun,1,1,1,0,0,0,0,1,0,1,0,0
pikir onta kesana bro eh pakai buat kafir bacot,1,1,1,0,1,0,0,0,0,1,0,0
abis kesel tegur pdhalemg efek rokok salah satu bikin budek sih rokok ya kak ajus,0,0,0,0,0,0,0,0,0,0,0,0
orang awam tau rekayasa tempo antek nya asingsaatnya pimpin partai adil sejahtera sadar udukung panitia khusus bongkar tiputipu nya komisi berantas korupsi,1,0,0,1,0,0,0,0,1,0,1,0
maju anjing,1,1,1,0,0,0,0,0,1,1,0,0
bagibagi sembako nama presiden gilir ngutang sanasini nama rakyat gan,1,0,1,0,0,0,0,0,1,1,0,0
tuju kriminalisasi ulama kamibersamaulama,1,0,0,1,1,0,0,0,0,0,1,0
kayak tai congor jablay lebar kayak anjing,1,1,1,0,0,0,1,0,0,1,0,0
bukti sekian mr presiden antek aseng amp asing,0,0,0,0,0,0,0,0,0,0,0,0
strategi politik pki dulang untung karisma pimpin presiden soekarno dukung beredel pers partai politik jalan bijak perintah presiden pa,0,0,0,0,0,0,0,0,0,0,0,0
semangat serta beasiswa seni amp budaya indonesia ajar musik tradisional minangkabau padang,0,0,0,0,0,0,0,0,0,0,0,0
urut tradisional lelaki indonesia musafir malaysiannminyak fullbody aromatics palasunflowernnminyak zakar hitam papua daun bungkus tangkur buaya bulus zaitunnnherba hivsemua penyakitnjamu kuat priaampmanjakani wa,0,0,0,0,0,0,0,0,0,0,0,0
petas mainstream gue main bom panci dah ledak dahsyat,0,0,0,0,0,0,0,0,0,0,0,0
prabowo,1,0,1,0,0,0,0,0,1,1,0,0
pilkada curang jawa barat jawa barat kantong komunis catat ajar marhaen lahir daerah kubur nya marhaen daerah,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
jokowi presiden jadi revolusi mental jalan bla bla pokok salah jokowi deh,1,0,1,0,0,0,0,0,1,1,0,0
ahmad dhani borok sampah babi anjing orang muak lihat muka dhani bangga,1,1,1,0,0,0,0,0,1,1,0,0
imf tahan kira tumbuh ekonomi global,0,0,0,0,0,0,0,0,0,0,0,0
deklarasi pilih kepala daerah aman anti hoaks pkl jabon,0,0,0,0,0,0,0,0,0,0,0,0
mata picek,1,1,1,0,0,0,1,0,0,1,0,0
kalo badan gue dengar tulang gue bunyi mata gue lelah lihat layar mele tangan cape etik mele heh budek dengar bego maafin,1,1,1,0,0,0,1,0,0,1,0,0
perilaku si babi benci bau islam cocok ahok,1,1,1,0,1,0,0,0,0,1,0,0
aji salat budaya arab saudi muhammad kuasa jazirah arab,0,0,0,0,0,0,0,0,0,0,0,0
deklarasi pilih kepala daerah aman anti hoaks warga panggreh jabon,0,0,0,0,0,0,0,0,0,0,0,0
wajah anak kliatan bgt ya penuh dendam benci anak anak makan hasil uang haram bapak kayak lo banci rumpi lo maki gue makan tai istri anak anak orang tua makan bangkai uang haram,1,1,0,1,0,0,0,1,0,0,1,0
ayo sih tua bangkai dukung kampret,1,1,0,1,0,0,0,0,1,0,1,0
banyak promo tendensius bau islam tambah hukum berat belah sadar merek rezim anti islam,1,0,0,1,1,0,0,0,0,0,1,0
umum muhammad nabi gadungan biar rakyat info,1,1,0,1,1,0,0,0,0,0,1,0
embun pagi buta tebar bau basah detik detik ku hitung,0,0,0,0,0,0,0,0,0,0,0,0
era sbykritik fitnah apa netz media sosial nyatatetap aman baikbaik sj diktator jokowi tangkap,1,0,1,0,0,0,0,0,1,1,0,0
tuju bangsa indonesia butuh pahlawan nasionalis ajar cinta nkri kaum radikal cinta kencing onta biadab singkir kerja rad,1,1,0,1,0,0,0,0,1,0,0,1
nikmata ngentot pi geng hoot,0,1,0,0,0,0,0,0,0,0,0,0
coba suka maki korea pop banci heboh bicara drama korea maap maaf ya nih mas mbak drakor tonton idol loh,0,1,0,0,0,0,0,0,0,0,0,0
hukum sih antek susilo bambang yudhoyono periksa,0,0,0,0,0,0,0,0,0,0,0,0
agama coba,0,0,0,0,0,0,0,0,0,0,0,0
hmm jual kaos pekaes aku partai kurang logistik milu mokondo,0,0,0,0,0,0,0,0,0,0,0,0
habis enak sakit ndasar cowok brengsek,1,1,1,0,0,0,0,0,1,1,0,0
masalah pki ya angkat darat gerak massa antijokowi isuisu antiagama komunis,1,0,0,1,1,1,0,0,0,0,1,0
cegah radikalisme kalang ajar santri ulama pandeglang gelar seminar,0,0,0,0,0,0,0,0,0,0,0,0
hina orang buat lemah asa hina engkau lemah,0,0,0,0,0,0,0,0,0,0,0,0
agama percaya peluk agama a masuk surga islam kristen hindu buddha ajar kasih baik agama tuhan hidup lurus masuk surga,0,0,0,0,0,0,0,0,0,0,0,0
tgb bukti umaro ulama nasionalisreligius nasionalisme ragu beliau cucu pahlawan nasional dedikasi nkri,0,0,0,0,0,0,0,0,0,0,0,0
tuju musuh teroris budha myanmar biksu amp militer nya tp borobudur waris leluhur,1,0,0,1,1,1,0,0,0,0,1,0
ekonomi jokowi tetap proyek strategis nila rp t,0,0,0,0,0,0,0,0,0,0,0,0
allah penuh kasih sayang,0,0,0,0,0,0,0,0,0,0,0,0
yaa nama goblok akut bang diajarin pintar dongok,1,1,1,0,0,0,0,0,1,1,0,0
ya manusia bloon,0,1,0,0,0,0,0,0,0,0,0,0
akun komunis,1,0,0,1,0,1,0,0,0,0,1,0
fahami politik politik islam politik sekuler demokrasi politik sosialis komunis,0,0,0,0,0,0,0,0,0,0,0,0
doktrin tagar ide pks nwalau didik sontoloyonketololan kalah,1,1,0,1,0,0,0,0,1,0,1,0
pki satu pdi p bubar pdi p,1,0,0,1,0,1,0,0,0,0,0,1
pindah tangan medco milik arifin panigoro ambil alih saham dana pinjam china,0,0,0,0,0,0,0,0,0,0,0,0
kampung tau crispy rendang kalo lengkoas crispy rendang,0,1,0,0,0,0,0,0,0,0,0,0
ms kaban tanah jakarta persen asai cina,1,0,0,1,0,1,0,0,0,0,1,0
ex koruptornnyalegnapa partai politikntak berfikirnitu menurunkanncitra partaingeblek,1,1,0,1,0,0,0,0,1,0,1,0
rohingya seolaholah jadi alat politik prabowo,1,0,1,0,0,0,0,0,1,1,0,0
assalamualaikum bu risma tolong warga jalan kalimas udik rumah jalan kalimas udik bantu bu risma warga rumah roboh kasihan bu risma warga tinggal rumah roboh,0,0,0,0,0,0,0,0,0,0,0,0
kntl mas mas smule,0,1,0,0,0,0,0,0,0,0,0,0
ahok sih hina al quran ulama sikap jijik sok suci,1,1,1,0,1,0,0,0,0,1,0,0
alhamdulillah gubernur gagal amp bobrok ganti gubernur muslim insyaalloh lelah juang niat ibadah nikmat juang lawan pimpin zalim,1,1,1,0,0,0,0,0,1,1,0,0
fahri hamzah tugas presiden tipu realisasi janji,0,0,0,0,0,0,0,0,0,0,0,0
lo bilang otak gue belatung sarang ahhh ehhh banci isi otak hati lo isi belatung bangkai benci akut lo,1,1,1,0,0,0,0,1,0,1,0,0
salah ciri orang munafik janji dusta kayak jokowi,1,0,1,0,0,0,0,0,1,1,0,0
emang partai satu bangun tumpang ya,1,0,0,1,0,0,0,0,1,0,1,0
jablay friends with benefit beda tau jablay pakainfwb mana and not all about sex thing duh,0,0,0,0,0,0,0,0,0,0,0,0
amp langgar atur uu pakde mingkem kayak bangkennbegitu amp,1,1,0,1,0,0,0,0,1,0,1,0
ulang reformasi jilid turun jokowi,1,0,1,0,0,0,0,0,1,0,0,1
rezim deal,0,0,0,0,0,0,0,0,0,0,0,0
akuntansi intermediate smi,0,0,0,0,0,0,0,0,0,0,0,0
salah orang tua kak kampret kampret tetas kampret,1,1,0,1,0,0,0,0,1,0,1,0
makhluk tuhan nyinyir,1,0,1,0,0,0,0,0,1,1,0,0
tuju dukung anti rejim skrg ndan sebut lakuin,1,0,0,1,0,0,0,0,1,0,1,0
pks paguyuban kampret sarap,1,1,0,1,0,0,0,0,1,0,1,0
percaya tuhan gue tar kata musyrik wkwk,0,0,0,0,0,0,0,0,0,0,0,0
banyak minum air kencing onta air minum suling tinja otak error stress,1,1,1,0,0,0,0,0,1,1,0,0
kesi sarap sarap tauu,0,0,0,0,0,0,0,0,0,0,0,0
bahasa cina pon letak kandung teks bahasa melayu njangan google translate translate,0,0,0,0,0,0,0,0,0,0,0,0
partai komunis indonesia biadab agama candu masyarakat agama lawan feodalisme amp kapitalisme agama hei bajing rendah anggap orang agama jadi ala,1,1,0,1,1,1,0,0,0,0,1,0
mampus mtvlafanexol mtvlakpopexo mtvladancekokobop,1,1,0,1,0,0,0,0,1,0,1,0
pengantin sakit ngentotnn,0,1,0,0,0,0,0,0,0,0,0,0
rasional realistis nilai pimpin presiden jokowi bawa baik aspek bangun sejahtera masyarakat banding layak,0,0,0,0,0,0,0,0,0,0,0,0
dah azan subuh ni salat yuk nyg kristen sate yuk,0,0,0,0,0,0,0,0,0,0,0,0
smp ne skr dipukili joko kristanto,1,0,1,0,0,0,0,0,1,1,0,0
matanajwadebatjakarta topeng fix buka dukung bau busuk,1,1,1,0,0,0,0,0,1,1,0,0
agama jalan hindu yoga nya hening islam jalan tarekat,0,0,0,0,0,0,0,0,0,0,0,0
potong gaji fasilitas dpr ratus orang,0,0,0,0,0,0,0,0,0,0,0,0
wkwkkwkw tutup taplak meja say biar,0,0,0,0,0,0,0,0,0,0,0,0
autis bacain mentionan,0,0,0,0,0,0,0,0,0,0,0,0
konsisten marah akutu kasih video burung onta kepleset bahagia idupku,0,0,0,0,0,0,0,0,0,0,0,0
masuk lingkar mlm sulit lepas upline komisaris downline rugi ahli cebong tukang tipu cebong gitu goblok ketulungan plonga plongo akibat optimisme pl,1,1,0,1,0,0,0,0,1,0,1,0
bocah pakai baju hitam bangsat,1,1,1,0,0,0,0,0,1,1,0,0
twit asyik lo tau akunakun propenista agama akunakun buzzer kerja hujat,1,0,0,1,0,0,0,0,1,0,1,0
warbiasak presiden ,0,0,0,0,0,0,0,0,0,0,0,0
ramai cerca sokong hak asasi golong lgbt sekurangkurangnya beliau konsisten juang hak asasi baru beliau suara tahan tahan muslim uighur ancam hantar pulang negara komunis,0,0,0,0,0,0,0,0,0,0,0,0
peta indonesia tempat posisi belah mrklah kaum pecah belah satu harmonis jalin satu rangkul belah tangan pukul,1,0,0,1,0,0,0,0,1,0,1,0
pandang asing napa jual,0,0,0,0,0,0,0,0,0,0,0,0
bodoh wkwkwkwkkkk tulis prabowo gambar goreng isu,1,0,1,0,0,0,0,0,1,1,0,0
edan kutip bobot bwangeeeeeeuuut,0,1,0,0,0,0,0,0,0,0,0,0
bencong hasil selingkuh maknya perek gerwani kuda wowok lahir sih onta bencong akun ngeooaahahahaaaaa,1,1,1,0,0,0,0,1,0,1,0,0
retweet program jokowi bagibagi sertifikat angkat ekonomi rakyat rakyat tenang sertifikatanahjkw,0,0,0,0,0,0,0,0,0,0,0,0
alhamdulillah presiden kasih contoh k keras kenal lelah keluh optimis bangun negerilove presiden,0,0,0,0,0,0,0,0,0,0,0,0
kintamani anjing ras indonesia aku perkin aku cynologique internationale fci anjing ras dunia,0,0,0,0,0,0,0,0,0,0,0,0
djarot potong atas,0,0,0,0,0,0,0,0,0,0,0,0
udik gue habis minum soda langsung sakit tenggorok sih kemarin paket minum soda ya lemon langsung kayak pilek sakit tenggorok bangun tidur minum es es kesan gula campur sensitif,0,1,0,0,0,0,0,0,0,0,0,0
pintar bacot ya lawan nya bu sri,1,1,1,0,0,0,0,0,1,1,0,0
bangsa indonesia suku batak toba lestari budaya batak toba cerita anak rumah ajar si anjur,0,0,0,0,0,0,0,0,0,0,0,0
jadwal padat ya cara atur kuchat,0,0,0,0,0,0,0,0,0,0,0,0
jablay,0,1,0,0,0,0,0,0,0,0,0,0
haha boca agama lucu bangkit abad barangkali goblok fuck,1,1,1,0,0,0,0,0,1,1,0,0
rusiakroasia indonesiarusia wajar hindar salah paham negara negara anti komunis as peduli manusia rusia kait agama merosot moral sebab serakah picu perang orang henti,0,0,0,0,0,0,0,0,0,0,0,0
sepenuh jilbab baju koko tahu kristenkatolikhindubudhakonghucu wajib pakai jilbab perihal baju kokomodelnya putih khas baju takwa kalo sekolah beda pad,0,0,0,0,0,0,0,0,0,0,0,0
ketua dpr dorong inspirasi kreatif perintah sesuai budaya pancasila,0,0,0,0,0,0,0,0,0,0,0,0
jugaa sih adik sipit wkwkw,0,0,0,0,0,0,0,0,0,0,0,0
cebong otak ngeres mulu hny putar coli,1,1,0,1,0,0,0,0,1,0,1,0
  bicara pimpin agama eksorsisme exorcism,0,0,0,0,0,0,0,0,0,0,0,0
calon presiden ri akar rumput menang presiden ri,0,0,0,0,0,0,0,0,0,0,0,0
hati anak proses hukum langsung bela jkw tuju cari empati video hina presiden pribumi warga kelas sebar video buru polisi dsb,0,0,0,0,0,0,0,0,0,0,0,0
truk pasir balik tol jorr pasar minggu kp rambutan macet,0,0,0,0,0,0,0,0,0,0,0,0
tonton disobedience penasaran wanita yahudi orthodox pakai wig,0,0,0,0,0,0,0,0,0,0,0,0
warga baduy selesai ingat tradisi seba pendopo pemkab lebak lanjut temu gubernur banten wahidin halim sabtu,0,0,0,0,0,0,0,0,0,0,0,0
kl komunis laku isu jual antek orde dukung terap negara islamkhilafah,1,0,0,1,1,0,0,0,0,0,1,0
prabowo wajar bicara rohingya presiden,1,0,1,0,0,0,0,0,1,1,0,0
orang kayak tai salah orang maaf,0,1,0,0,0,0,0,0,0,0,0,0
nyadar hidup urus orang haha sampah habis,0,1,0,0,0,0,0,0,0,0,0,0
presiden ingat harlah pmii gedung sabuga bandung selasa calon pimpin milik optimisme tahan uji tahan uji tahan banting amp tawakal serah allah usaha,0,0,0,0,0,0,0,0,0,0,0,0
ve anjing nama juno bruno anjing pindah rumah kakek,0,0,0,0,0,0,0,0,0,0,0,0
duga ekonomi guru sd nekat gantung kbrn semarang,0,0,0,0,0,0,0,0,0,0,0,0
temu jalan organisasi haram babi larang pki,0,0,0,0,0,0,0,0,0,0,0,0
bu silvy anti pegawai negeri sipil level rendah debatfinalpilkadajkt,1,0,1,0,0,0,0,0,1,1,0,0
doa sebut moga kabul daerah serbu tka aseng gawattt,1,0,1,0,0,0,0,0,1,1,0,0
man teman terima kasih toilet kubur tai kucing,0,0,0,0,0,0,0,0,0,0,0,0
tipikal bani bin onta kampret cepat puji orang hormat cepat caci nya salam tgb haha bubarkanpks,1,1,0,1,1,0,0,0,0,0,0,1
strictdeh pokok bijak politik negeri amp negeri asing haram tiru negara komunis lindung keut,0,0,0,0,0,0,0,0,0,0,0,0
integrasi agama budaya pondasi adab bangsa,0,0,0,0,0,0,0,0,0,0,0,0
kakak kampung cuyih,1,1,1,0,0,0,0,0,1,1,0,0
catatannngerakan reformasi gera moral rakyat mahasiwa pimpin amien rais kawan kawan produk inisiasi distimulir rancang csis elit katolik konglo tionghoa tunggang merekanreformasi,0,0,0,0,0,0,0,0,0,0,0,0
konstitusional hak rakyat woii gin nih plonga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
dialog neo oracle the matrix noracle penguasanneo hening noracle kuasa,0,0,0,0,0,0,0,0,0,0,0,0
nowpepatahpetitih sucipto had purnomo dosen budaya jawa jurus sastra jawa unnes tema aja gumun aja getun aja kaget aja alem,0,0,0,0,0,0,0,0,0,0,0,0
iya aman mayoritas rakyat umat islam hati sakit sukses kendali sukses jaga emosi penting satu bangsa presiden pelihara cebong,1,0,1,0,0,0,0,0,1,1,0,0
qaumi ekajati conference jamiat ul ulama e hind ki publik meeting barrister asad udin owaisi,0,0,0,0,0,0,0,0,0,0,0,0
hina iriana jokowi langsung tangkap hina wapres jk aman,1,0,1,0,0,0,0,0,1,1,0,0
dendennnista banget hidup lonudah fitnah abu jibriel maaf bikin fitnah lagindan followermu sedih banget tingkat kecerdasannyanmain tuju tuju mbek congormunbosok su,1,1,1,0,0,0,0,0,1,1,0,0
surabaya bom ledak rumah susun sederhana sewa wonocolo sidoarjo petinggi polisi jawa timur duga kuat kait jadi surabaya makan korban orang orang tinggal dunia laku anton,0,0,0,0,0,0,0,0,0,0,0,0
emang sontoloyo sih kecut,1,1,1,0,0,0,0,0,1,1,0,0
orang kayak mau bayi bunuh aja polisi moral keparat,1,1,0,1,0,0,0,0,1,0,1,0
catat hari menantu sinting lakban laki banget lakban definisi df,0,0,0,0,0,0,0,0,0,0,0,0
gubernur indonesia obrol presiden turki ,0,0,0,0,0,0,0,0,0,0,0,0
beda nya bani kampret kayak bro mudah provokasi,1,1,0,1,0,0,0,0,1,0,1,0
berisik bacot,1,1,1,0,0,0,0,0,1,1,0,0
berengsek nih tau mampus,0,1,0,0,0,0,0,0,0,0,0,0
ajar giat penuh dedikasi lulus uji idiot tweetdsap,0,0,0,0,0,0,0,0,0,0,0,0
opung tenaga kerja china skill khusus buruh pribumi layak bangun proyek perintah tka china terampil labour nya juta lapang kerja,0,0,0,0,0,0,0,0,0,0,0,0
beli barang kirim cina paket transit cinindo,0,0,0,0,0,0,0,0,0,0,0,0
iihcebong cebonggagal paham kali kauga salah kena virus cebongjadi dunguhahahaha terima nyata yahkasihan deh lo,1,1,0,1,0,0,0,0,1,0,1,0
coba sifat keras erdogan tuduh pki masuk lapas kali ya salut presiden sabar tingkat dewa maju,0,0,0,0,0,0,0,0,0,0,0,0
jaman daerah khusus ibukota main isu cina kapir cina kafir keluarga sih ono silit eh sulit,1,1,0,1,0,1,0,0,0,0,1,0
orang sasar rugi banget rugi cinta sasar hati,0,0,0,0,0,0,0,0,0,0,0,0
terkadang mending bajing bangsat kalem alim tau tau bikin malu orang tua,0,1,0,0,0,0,0,0,0,0,0,0
berani bubar kpk hadap rakyat anjing,1,1,1,0,0,0,0,0,1,1,0,0
woohoo lumayan wifi rumah nih npenolong kuota habis kampret nih tri,1,1,0,1,0,0,0,0,1,0,1,0
serang perintah jokowi bentar henti berkuasalengserkan pilih presiden,1,0,1,0,0,0,0,0,1,0,0,1
truss lantas jokowi tuduh laku tuduhannmusungguh akal akhlak mu,0,0,0,0,0,0,0,0,0,0,0,0
ya bacot bngst,1,1,1,0,0,0,0,0,1,1,0,0
antropologi fisik paleo anthropology somatologi antropologi budaya arkeologi etnolinguistik etnologi antropologi sosial,0,0,0,0,0,0,0,0,0,0,0,0
bodoh akun capek,0,1,0,0,0,0,0,0,0,0,0,0
tagar tanding persibtakutmaindijakarta sambung fakta edar nvikinganjingnperssibnperslibnligaindonesiabandungnbotolkosong nyaring bunyi congor,1,1,0,1,0,0,0,0,1,0,1,0
antar presiden joko widodo rapat batas cepat laksana usaha online single submissionoss april istana presiden bogor jawa barat,0,0,0,0,0,0,0,0,0,0,0,0
bisu cuapcuap,0,0,0,0,0,0,0,0,0,0,0,0
baca tai aja,0,1,0,0,0,0,0,0,0,0,0,0
ombudsman ri pesawat tka tiongkok indonesia,0,0,0,0,0,0,0,0,0,0,0,0
hihihicebong kampret gue,1,1,0,1,0,0,0,0,1,0,1,0
insyaallah coba tanggal mei lihat halhal baik airport kertajati tampung juta tumpang rupa airport besar soekarnohatta presiden,0,0,0,0,0,0,0,0,0,0,0,0
ambisi jokowi nyapres dukung ulama,0,0,0,0,0,0,0,0,0,0,0,0
seksyen mega utus malaysia lebihdaripadapolitik beli utusanmalaysia langgan islam muslim alquran keluarga wanita kesihatan hibur artis budaya sains teknologi alamsekitar alumni kampus universiti wira tentera polis,0,0,0,0,0,0,0,0,0,0,0,0
langsung stroke wkwk orang picek tau,1,1,1,0,0,0,1,0,0,1,0,0
lihat rakyat amp nkri mending mundur jokowi,1,0,1,0,0,0,0,0,1,1,0,0
terimakasih selamat jalan ila jiwari robbihimul ala jalla wa alaa ra lilur ulama cinta dunia bahaya bahaya perintah beliau perintah perintah kadang ajar harga lahul fatihah ,0,0,0,0,0,0,0,0,0,0,0,0
kemaren beli babi nama fadil,0,1,0,0,0,0,0,0,0,0,0,0
buat baikburuk balas stimpal hindu balas hidup hidup,0,0,0,0,0,0,0,0,0,0,0,0
eluomong culun,1,1,1,0,0,0,0,0,1,1,0,0
mampus,1,1,1,0,0,0,0,0,1,1,0,0
ngentot yukkk,0,1,0,0,0,0,0,0,0,0,0,0
tka china berani leceh bendera merah putih diam tka china arogan kuat dukung rezim kuasa mudah tka china masuk nkri jajah,1,0,0,1,0,1,0,0,0,0,1,0
ulama umara satu nu online,0,0,0,0,0,0,0,0,0,0,0,0
pidex suka bash tipu lelang acc hidup kayak jijik jual apps eh jual apps v mending jilat telapak kaki gue dex,0,1,0,0,0,0,0,0,0,0,0,0
badminton putri indonesia kalah jepang n cina main lepas gampang serah komunis,1,0,0,1,0,1,0,0,0,0,1,0
direct message pakai capslock bilang gue cocot wkwk,0,1,0,0,0,0,0,0,0,0,0,0
cerita laki laki berengsek ya dasar cupu,1,1,0,1,0,0,0,0,1,0,1,0
aku pancasila indonesia taat uu indonesiannsesuai keppres no sk menag nomor agama aku nkri islam kristen protestan katolik hindu buddha kong hu cunndiluar agama,0,0,0,0,0,0,0,0,0,0,0,0
contoh orang kerja rakyat partai loh rakyat wakil ketua dewan wakil rakyat kerja nyinyir nyinyir perintah kritik nyela coba dewan wakil rakyat tugas t,0,0,0,0,0,0,0,0,0,0,0,0
beliau projo gelar kristen,0,0,0,0,0,0,0,0,0,0,0,0
rezim otoriter habishabis tabraktubruk uu kali undangundang dasar dijebolmk lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1
kerja cornelis tionghoa stres gila,1,1,0,1,0,1,1,0,0,0,1,0
modal cebong copas bukti kapasitas otak,1,1,1,0,0,0,0,0,1,1,0,0
makasih unik kayak armeries udik,1,1,1,0,0,0,0,0,1,1,0,0
kerja seni komersial bicara copas isi kepala ya eks kontrak cape psk,0,0,0,0,0,0,0,0,0,0,0,0
lengser jokowi rejim anti subsidi rejim anti rakyat,1,0,1,0,0,0,0,0,1,0,0,1
nyamber dongnnkulit leher kering vit ccupangnnkulit bokong kering vit cceboknnhidup bahagia vit ccewekcowok,0,1,0,0,0,0,0,0,0,0,0,0
deny muslim kristen ya,0,0,0,0,0,0,0,0,0,0,0,0
babi haram babu halal ulah muhammad bejad catut nama tuhan,1,1,0,1,1,0,0,0,0,0,1,0
calon partai gurem garem,1,0,0,1,0,0,0,0,1,0,1,0
tulis kuchat,0,0,0,0,0,0,0,0,0,0,0,0
eh kunyuk,0,0,0,0,0,0,0,0,0,0,0,0
rezim kuasa korban pers rezim sby,1,0,1,0,0,0,0,0,1,1,0,0
sepegetahuan gue ya soekarno nikah politik indonesia gue aneh presiden hebat kayak beliau suka cwe,0,0,0,0,0,0,0,0,0,0,0,0
selamat tim dulunya jaya sisa main main burik,1,1,0,1,0,0,0,0,1,0,1,0
malam jiwa raga nya ririn pisah jiwa nya gelap sempit sepi,0,0,0,0,0,0,0,0,0,0,0,0
balik opp eunbi rela sama bom,0,0,0,0,0,0,0,0,0,0,0,0
kalo lucu hhhaa gt budek orang telepon genggam hhhhaaaaa handphonenya bolak bunyi angkat oalah oalah,0,0,0,0,0,0,0,0,0,0,0,0
rantau dapat ganti kerabat kawan imam syafii,0,0,0,0,0,0,0,0,0,0,0,0
lipstick sapu tangan boranndan diri hati mampus malu luh makan cipok,1,1,1,0,0,0,0,1,0,1,0,0
h imam munandar gubernur riau periode oleh gelar datuk sri,0,0,0,0,0,0,0,0,0,0,0,0
ajannkak orang nya asikntp sayang omong kayak orang goblokjd bikin ilfeelnmaaf yangausah banyak,0,1,0,0,0,0,0,0,0,0,0,0
sarap nih sih jul bntr sirosis,1,1,1,0,0,0,0,0,1,1,0,0
body bagus enakngentot lobang pantat say,0,1,0,0,0,0,0,0,0,0,0,0
habis baca takut insecure attachment both ambient disorganized cacat ya baik kakak phoerange kakak hadap,0,0,0,0,0,0,0,0,0,0,0,0
negara maju gin gaji presiden as pegawai perintah,0,0,0,0,0,0,0,0,0,0,0,0
oktober sakti pancasila pancasila versi arah komunis rezim diktator anti islam,1,0,0,1,1,1,0,0,0,0,1,0
faktafreeport perintah soeharto ganti rezim soekarno terima freeport tangan buka ayoindonesia indonesiakuasaifreeport freeport,0,0,0,0,0,0,0,0,0,0,0,0
si rosa muka tugu ingat batu nissan gentle kaum cebong,1,1,1,0,0,0,1,0,0,1,0,0
kerja soeharto susilo bambang yudhoyono pasti korupsi tangkap,1,0,1,0,0,0,0,0,1,1,0,0
tokohperubahan kontribusi nyata lanjut maju masyarakat bidang ekonomi budaya sehat ajak masyarakat sinergi ber,0,0,0,0,0,0,0,0,0,0,0,0
islam nusantara bukti gagal ubah yahudi israel rahmah,0,0,0,0,0,0,0,0,0,0,0,0
setujuuuu banget jokowi mundur bosan,1,0,1,0,0,0,0,0,1,1,0,0
onta ya otak mikirpicik,1,1,1,0,0,0,0,0,1,1,0,0
matanajwadebatjakarta lucu banget ahok nyambung kena sekak mat isu agama tdi dasar cina tolol haha,1,1,1,0,0,1,0,0,0,1,0,0
isnus tetes telur kodok sih said agil kolektor cebong bangndan hidup sari sari comberan hasil buang koar koar isnus,1,1,0,1,1,0,0,0,0,0,1,0
ko bagus negara kafir tat ustad hijrah k thailand ya,1,1,1,0,1,0,0,0,0,1,0,0
kitab suci fiksi orang fiksi ragu jaman skr buka kelompok sisi politik agama pihak,0,0,0,0,0,0,0,0,0,0,0,0
harga pribumi minimal laku sopan tamumereka sejati ampas hak pribumi stoptkachina,1,0,0,1,0,1,0,0,0,0,1,0
ayo gelora insya allah sejahtera rata komunis lenyap,1,0,0,1,0,1,0,0,0,0,1,0
moga jokowi ulama sehat aamiin,0,0,0,0,0,0,0,0,0,0,0,0
peluang kerja rakyat warga asing nih bolot sektor,1,1,0,1,0,0,1,0,0,0,1,0
rihanna dietnlah kampang bicara kalori,1,1,1,0,0,0,0,0,1,1,0,0
kao kalah lae jual pasar tradisional sadar kali kau banyak makan mie gomak lae,1,0,1,0,0,0,0,0,1,1,0,0
huhahahhahahaaanpengusaha kayak raya menang ber darah darah jaman jokowi sangking susah jaman rezim kelola ekonomi negara benernberas mahal sembako mahal daya beli turun masyarakat,1,0,1,0,0,0,0,0,1,1,0,0
antek yahudi liberal lgbt syiah nnislam ya islam allah swt sempurna alquran nnadakah islam al quran,0,0,0,0,0,0,0,0,0,0,0,0
ava gue anjing gue monyet hadeh,0,1,0,0,0,0,0,0,0,0,0,0
ktt ulamacendekiawan muslim dunia bahas wasatiyat islam,0,0,0,0,0,0,0,0,0,0,0,0
warga puter tolak berita hoaks dukung pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
nya ngewe,0,1,0,0,0,0,0,0,0,0,0,0
salam sejahtera saudara kristen katolik ku mana heppy,0,0,0,0,0,0,0,0,0,0,0,0
fifa siasat isu suara aksi perancisrussian via sinaronline,0,0,0,0,0,0,0,0,0,0,0,0
jaring hidup ya potensi habitat cacing sapi babi manusia,0,0,0,0,0,0,0,0,0,0,0,0
bantu rohingya citra derita warga rohingya bantu pakai demo,1,0,1,0,0,0,0,0,1,1,0,0
ahok cari cari celah serang saksi dramaahokdikriminalisasi penjara ahok,1,0,1,0,0,0,0,0,1,0,0,1
